ประเภท,เส้นทาง,รหัสสถานี,ชื่อสถานี,ขาเข้า,ขาออก,วันให้บริการ,วันที่ให้บริการ,เดือนที่ให้บริการ,ปีที่ให้บริการ
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2591,2625,จันทร์,17,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3094,3253,จันทร์,17,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5099,5540,จันทร์,17,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1497,1488,จันทร์,17,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5880,6278,จันทร์,17,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4119,3250,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5361,5305,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1802,1767,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2701,2676,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3166,3122,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5091,5572,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1517,1535,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5664,6194,อังคาร,18,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4017,3257,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5396,5433,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1836,1773,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2631,2657,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3113,3250,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5101,5541,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1598,1513,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5842,6110,พุธ,19,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3900,3617,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5555,5424,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1837,1775,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2723,2653,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3172,3255,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5102,5512,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1566,1549,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6039,6109,พฤหัสบดี,20,มกราคม,2565
รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4263,3864,ศุกร์,21,มกราคม,2565
